coordinates,radiance
13.675000190734863N 6.195833206176758E,11
11.987500190734863N 5.295833110809326E,18
13.074999809265137N 6.495833396911621E,27
12.112500190734863N 5.9375E,11
12.879166603088379N 6.495833396911621E,8
12.133333206176758N 5.120833396911621E,9
12.470833778381348N 4.804166793823242E,30
12.408333778381348N 4.641666889190674E,21
11.683333396911621N 5.254166603088379E,8
12.145833015441895N 5.120833396911621E,16
11.741666793823242N 6.083333492279053E,22
11.699999809265137N 4.483333110809326E,13
13.220833778381348N 5.262499809265137E,11
12.220833778381348N 6.074999809265137E,13
12.833333015441895N 5.141666889190674E,10
13.125N 5.491666793823242E,9
12.725000381469727N 5.008333206176758E,11
13.158333778381348N 6.520833492279053E,10
11.725000381469727N 6.170833110809326E,10
13.133333206176758N 5.204166889190674E,17
11.954166412353516N 6.233333110809326E,10
13.058333396911621N 6.5E,26
13.291666984558105N 5.416666507720947E,13
12.829166412353516N 5.137499809265137E,9
12.800000190734863N 6.4375E,18
13.362500190734863N 5.241666793823242E,16
13.558333396911621N 6.320833206176758E,9
13.566666603088379N 6.324999809265137E,17
12.145833015441895N 5.112500190734863E,11
14.420833587646484N 6.0333333015441895E,18
13.358333587646484N 5.241666793823242E,8
12.145833015441895N 5.133333206176758E,10
12.225000381469727N 6.066666603088379E,9
12.879166603088379N 6.491666793823242E,40
13.204166412353516N 6.4041666984558105E,19
12.133333206176758N 5.129166603088379E,12
11.899999618530273N 4.183333396911621E,12
12.037500381469727N 6.208333492279053E,9
11.679166793823242N 5.433333396911621E,10
12.220833778381348N 6.070833206176758E,39
14.416666984558105N 6.0333333015441895E,9
12.112500190734863N 5.933333396911621E,19
12.854166984558105N 6.379166603088379E,9
13.0625N 6.504166603088379E,42
12.533333778381348N 4.9375E,8
13.004166603088379N 6.520833492279053E,11
13.125N 5.5E,11
11.675000190734863N 4.25E,11
11.6875N 5.258333206176758E,9
12.383333206176758N 4.691666603088379E,8
12.466666221618652N 4.800000190734863E,24
13.291666984558105N 5.425000190734863E,20
12.941666603088379N 6.270833492279053E,9
11.925000190734863N 4.183333396911621E,29
13.079166412353516N 5.395833492279053E,9
13.100000381469727N 5.275000095367432E,20
12.112500190734863N 5.929166793823242E,45
